TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000654	0.00131615	0.000654	0.0100127	0.000654	0.00131615
0.000656	-0.000616404	0.000656	0.0132336	0.000656	0.000349874
0.000658	-0.00126059	0.000658	0.0151661	0.000658	0.000349874
0.00066	0.000994059	0.00066	0.0158103	0.00066	2.78E-05
0.000662	-0.000294312	0.000662	0.0167766	0.000662	-0.000294312
0.000664	-0.00158268	0.000664	0.0170987	0.000664	-0.000294312
0.000666	-0.000294312	0.000666	0.0158103	0.000666	-0.000938497
0.000668	0.000349874	0.000668	0.0141999	0.000668	-0.00158268
0.00067	0.000349874	0.00067	0.0119452	0.00067	-0.00158268
0.000672	-0.00190477	0.000672	0.00969056	0.000672	-0.00222687
0.000674	2.78E-05	0.000674	0.00646963	0.000674	-0.00222687
0.000676	0.000349874	0.000676	0.00324871	0.000676	-0.00287105
0.000678	-0.00126059	0.000678	0.000349874	0.000678	-0.00190477
0.00068	-0.000294312	0.00068	-0.00287105	0.00068	-0.00190477
0.000682	0.000671966	0.000682	-0.00673617	0.000682	-0.00254896
0.000684	0.000349874	0.000684	-0.00866872	0.000684	-0.00190477
0.000686	-0.00190477	0.000686	-0.0118896	0.000686	-0.00158268
0.000688	2.78E-05	0.000688	-0.0125338	0.000688	-0.00222687
0.00069	0.000994059	0.00069	-0.0147885	0.00069	-0.00190477
0.000692	-0.000938497	0.000692	-0.0147885	0.000692	-0.00126059
0.000694	-0.00126059	0.000694	-0.0154327	0.000694	-0.000938497
0.000696	0.000671966	0.000696	-0.0154327	0.000696	-0.000294312
0.000698	0.000994059	0.000698	-0.0144664	0.000698	-0.000616404
0.0007	-0.00126059	0.0007	-0.0128559	0.0007	2.78E-05
0.000702	-0.000616404	0.000702	-0.0102792	0.000702	2.78E-05
0.000704	0.000994059	0.000704	-0.00899081	0.000704	0.000349874
0.000706	-0.000616404	0.000706	-0.00576989	0.000706	0.000994059
0.000708	-0.000616404	0.000708	-0.00319315	0.000708	0.000671966
0.00071	-0.000294312	0.00071	-0.000938497	0.00071	0.00131615
0.000712	0.00131615	0.000712	0.00131615	0.000712	0.000671966
0.000714	-0.000938497	0.000714	0.00453708	0.000714	-0.000294312
0.000716	-0.00190477	0.000716	0.00614754	0.000716	2.78E-05
0.000718	0.000671966	0.000718	0.0080801	0.000718	0.000349874
0.00072	0.000671966	0.00072	0.00872428	0.00072	2.78E-05
0.000722	-0.00126059	0.000722	0.0100127	0.000722	-0.000616404
0.000724	-0.000938497	0.000724	0.0106568	0.000724	-0.000938497
0.000726	0.000994059	0.000726	0.00904638	0.000726	-0.000616404
0.000728	-0.000616404	0.000728	0.00969056	0.000728	-0.000938497
0.00073	-0.00126059	0.00073	0.00840219	0.00073	-0.000938497
0.000732	0.000349874	0.000732	0.00711382	0.000732	-0.00126059
0.000734	0.000671966	0.000734	0.00550336	0.000734	-0.00158268
0.000736	-0.00126059	0.000736	0.00292662	0.000736	-0.00158268
0.000738	-0.00158268	0.000738	0.00163824	0.000738	-0.00190477
0.00074	0.000671966	0.00074	-0.000616404	0.00074	-0.00126059
0.000742	2.78E-05	0.000742	-0.00158268	0.000742	-0.00222687
0.000744	-0.00190477	0.000744	-0.00415942	0.000744	-0.00126059
0.000746	-0.000294312	0.000746	-0.00544779	0.000746	-0.00158268
0.000748	0.000349874	0.000748	-0.00802454	0.000748	-0.00158268
0.00075	-0.000938497	0.00075	-0.00866872	0.00075	-0.00190477
0.000752	-0.00126059	0.000752	-0.00899081	0.000752	-0.00158268
0.000754	2.78E-05	0.000754	-0.009635	0.000754	-0.000938497
0.000756	0.000994059	0.000756	-0.0102792	0.000756	-0.000616404
0.000758	-0.000938497	0.000758	-0.009635	0.000758	-0.000616404
0.00076	-0.000616404	0.00076	-0.00931291	0.00076	-0.000294312
0.000762	0.000671966	0.000762	-0.00802454	0.000762	-0.000294312
0.000764	-0.000294312	0.000764	-0.00641407	0.000764	-0.000294312
0.000766	-0.00158268	0.000766	-0.00544779	0.000766	-0.000294312
0.000768	-0.000616404	0.000768	-0.00383733	0.000768	2.78E-05
0.00077	0.00163824	0.00077	-0.00254896	0.00077	2.78E-05
0.000772	-0.000938497	0.000772	-0.000616404	0.000772	0.000671966
0.000774	-0.000938497	0.000774	0.000671966	0.000774	2.78E-05
0.000776	0.000671966	0.000776	0.00163824	0.000776	0.000349874
0.000778	2.78E-05	0.000778	0.0035708	0.000778	-0.000616404
0.00078	-0.000616404	0.00078	0.00421499	0.00078	-0.000938497
0.000782	-0.000616404	0.000782	0.00485917	0.000782	-0.000938497
0.000784	0.000671966	0.000784	0.00550336	0.000784	-0.00126059
0.000786	-0.000616404	0.000786	0.00679173	0.000786	-0.000938497
0.000788	-0.000938497	0.000788	0.00582545	0.000788	-0.000938497
0.00079	0.000671966	0.00079	0.00614754	0.00079	-0.00126059
0.000792	0.000671966	0.000792	0.00421499	0.000792	-0.000938497
