TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000468	-0.00480361	0.000468	-0.000294312	0.000468	0.00260452
0.00047	0.000994059	0.00047	-0.00126059	0.00047	0.00228243
0.000472	-0.00415942	0.000472	-0.000616404	0.000472	0.00228243
0.000474	-0.00544779	0.000474	-0.000938497	0.000474	0.00292662
0.000476	-0.000938497	0.000476	-0.000938497	0.000476	0.00324871
0.000478	-0.00158268	0.000478	-0.000616404	0.000478	0.00228243
0.00048	-0.00351524	0.00048	-0.00126059	0.00048	0.00260452
0.000482	-0.00287105	0.000482	-0.00126059	0.000482	0.00196034
0.000484	0.000349874	0.000484	-0.000616404	0.000484	0.00131615
0.000486	-0.00222687	0.000486	-0.000938497	0.000486	0.00131615
0.000488	-0.0051257	0.000488	-0.00190477	0.000488	0.00163824
0.00049	-0.00158268	0.00049	-0.00190477	0.00049	0.00196034
0.000492	0.00260452	0.000492	-0.00190477	0.000492	0.00260452
0.000494	-0.00190477	0.000494	-0.00126059	0.000494	0.00260452
0.000496	-0.00383733	0.000496	-0.00222687	0.000496	0.00228243
0.000498	0.00196034	0.000498	-0.00254896	0.000498	0.00292662
0.0005	0.000671966	0.0005	-0.00287105	0.0005	0.00228243
0.000502	-0.00222687	0.000502	-0.00222687	0.000502	0.00292662
0.000504	-0.000938497	0.000504	-0.00222687	0.000504	0.00228243
0.000506	0.000671966	0.000506	-0.00222687	0.000506	0.00292662
0.000508	-0.00287105	0.000508	-0.00254896	0.000508	0.00228243
0.00051	-0.00126059	0.00051	-0.00254896	0.00051	0.00228243
0.000512	2.78E-05	0.000512	-0.00287105	0.000512	0.00131615
0.000514	0.000671966	0.000514	-0.00287105	0.000514	0.00228243
0.000516	-0.00415942	0.000516	-0.00254896	0.000516	0.00292662
0.000518	2.78E-05	0.000518	-0.00222687	0.000518	0.00292662
0.00052	0.00131615	0.00052	-0.00351524	0.00052	0.00228243
0.000522	-0.00158268	0.000522	-0.00287105	0.000522	0.00228243
0.000524	-0.00158268	0.000524	-0.00254896	0.000524	0.00228243
0.000526	-0.000294312	0.000526	-0.00287105	0.000526	0.00196034
0.000528	0.000349874	0.000528	-0.00254896	0.000528	0.00228243
0.00053	-0.00158268	0.00053	-0.00287105	0.00053	0.00228243
0.000532	-0.00158268	0.000532	-0.00254896	0.000532	0.00292662
0.000534	0.000994059	0.000534	-0.00319315	0.000534	0.00292662
0.000536	-0.000938497	0.000536	-0.00287105	0.000536	0.00292662
0.000538	-0.00222687	0.000538	-0.00287105	0.000538	0.00260452
0.00054	-0.00254896	0.00054	-0.00222687	0.00054	0.00228243
0.000542	0.00196034	0.000542	-0.00319315	0.000542	0.00163824
0.000544	-0.00287105	0.000544	-0.00287105	0.000544	0.00196034
0.000546	-0.00287105	0.000546	-0.00222687	0.000546	0.00196034
0.000548	0.00131615	0.000548	-0.00319315	0.000548	0.00260452
0.00055	-0.000294312	0.00055	-0.00254896	0.00055	0.00324871
0.000552	-0.00126059	0.000552	-0.00222687	0.000552	0.00292662
0.000554	-0.0051257	0.000554	-0.00254896	0.000554	0.00228243
0.000556	0.000349874	0.000556	-0.00222687	0.000556	0.00196034
0.000558	-0.000294312	0.000558	-0.00190477	0.000558	0.00260452
0.00056	-0.00190477	0.00056	-0.00222687	0.00056	0.00260452
0.000562	-0.00254896	0.000562	-0.00222687	0.000562	0.00260452
0.000564	0.00131615	0.000564	-0.00287105	0.000564	0.00260452
0.000566	-0.000294312	0.000566	-0.00222687	0.000566	0.0035708
0.000568	-0.0051257	0.000568	-0.00222687	0.000568	0.00292662
0.00057	-0.000938497	0.00057	-0.00222687	0.00057	0.00228243
0.000572	-0.000294312	0.000572	-0.00190477	0.000572	0.00260452
0.000574	-0.00383733	0.000574	-0.00190477	0.000574	0.00324871
0.000576	-0.000938497	0.000576	-0.00222687	0.000576	0.00292662
0.000578	0.00131615	0.000578	-0.00254896	0.000578	0.00228243
0.00058	0.00260452	0.00058	-0.00190477	0.00058	0.00260452
0.000582	-0.00448152	0.000582	-0.00190477	0.000582	0.00292662
0.000584	2.78E-05	0.000584	-0.00190477	0.000584	0.00292662
0.000586	0.000994059	0.000586	-0.00287105	0.000586	0.00196034
0.000588	-0.00448152	0.000588	-0.00190477	0.000588	0.00292662
0.00059	-0.00158268	0.00059	-0.00190477	0.00059	0.0035708
0.000592	-0.000616404	0.000592	-0.00222687	0.000592	0.00260452
0.000594	0.00131615	0.000594	-0.00254896	0.000594	0.00260452
0.000596	-0.00576989	0.000596	-0.00287105	0.000596	0.00324871
0.000598	-0.00287105	0.000598	-0.00158268	0.000598	0.00260452
0.0006	-0.00222687	0.0006	-0.00190477	0.0006	0.00324871
0.000602	-0.00319315	0.000602	-0.00222687	0.000602	0.00260452
0.000604	-0.00415942	0.000604	-0.00190477	0.000604	0.000994059
0.000606	-0.00158268	0.000606	-0.00126059	0.000606	0.00260452
0.000608	0.00260452	0.000608	-0.00287105	0.000608	0.00292662
0.00061	-0.00351524	0.00061	-0.00190477	0.00061	0.00196034
0.000612	-0.00158268	0.000612	-0.00158268	0.000612	0.00228243
0.000614	-0.000938497	0.000614	-0.00190477	0.000614	0.00324871
0.000616	-0.000616404	0.000616	-0.00190477	0.000616	0.00228243
0.000618	-0.00448152	0.000618	-0.00254896	0.000618	0.00260452
0.00062	-0.00254896	0.00062	-0.00190477	0.00062	0.00292662
0.000622	0.00228243	0.000622	-0.00287105	0.000622	0.00228243
0.000624	-0.00222687	0.000624	-0.00254896	0.000624	0.00228243
0.000626	-0.00319315	0.000626	-0.00222687	0.000626	0.00260452
0.000628	-0.00126059	0.000628	-0.00222687	0.000628	0.00292662
0.00063	-0.000616404	0.00063	-0.00190477	0.00063	0.00196034
0.000632	-0.00448152	0.000632	-0.00190477	0.000632	0.00228243
0.000634	-0.00448152	0.000634	-0.00222687	0.000634	0.00292662
0.000636	0.000994059	0.000636	-0.00287105	0.000636	0.00324871
0.000638	-0.00287105	0.000638	-0.00190477	0.000638	0.00292662
0.00064	-0.00544779	0.00064	-0.00287105	0.00064	0.00260452
0.000642	-0.00222687	0.000642	-0.00254896	0.000642	0.00324871
0.000644	-0.00190477	0.000644	-0.00222687	0.000644	0.00292662
0.000646	-0.00222687	0.000646	-0.00158268	0.000646	0.00260452
0.000648	-0.00126059	0.000648	-0.00222687	0.000648	0.00228243
0.00065	0.000671966	0.00065	-0.00287105	0.00065	0.00228243
0.000652	0.000671966	0.000652	-0.00287105	0.000652	0.00260452
0.000654	-0.00415942	0.000654	-0.00222687	0.000654	0.00260452
0.000656	-0.000294312	0.000656	-0.00254896	0.000656	0.00324871
0.000658	0.00131615	0.000658	-0.00319315	0.000658	0.00292662
0.00066	-0.00190477	0.00066	-0.00190477	0.00066	0.0035708
0.000662	-0.00190477	0.000662	-0.00254896	0.000662	0.00260452
0.000664	-0.00126059	0.000664	-0.00254896	0.000664	0.0035708
0.000666	-0.000938497	0.000666	-0.00222687	0.000666	0.00196034
0.000668	-0.00287105	0.000668	-0.00254896	0.000668	0.00260452
0.00067	-0.000938497	0.00067	-0.00222687	0.00067	0.00163824
0.000672	0.00131615	0.000672	-0.00319315	0.000672	0.00292662
0.000674	-0.00190477	0.000674	-0.00287105	0.000674	0.00196034
0.000676	-0.00351524	0.000676	-0.00254896	0.000676	0.00131615
0.000678	-0.00222687	0.000678	-0.00222687	0.000678	0.00292662
0.00068	0.00228243	0.00068	-0.00351524	0.00068	0.00324871
0.000682	-0.00448152	0.000682	-0.00254896	0.000682	0.00196034
0.000684	-0.00158268	0.000684	-0.00254896	0.000684	0.00260452
0.000686	0.000349874	0.000686	-0.00222687	0.000686	0.00324871
0.000688	-0.00158268	0.000688	-0.00254896	0.000688	0.00196034
0.00069	-0.00351524	0.00069	-0.00254896	0.00069	0.00292662
0.000692	-0.0051257	0.000692	-0.00287105	0.000692	0.00260452
0.000694	0.0035708	0.000694	-0.00287105	0.000694	0.00260452
0.000696	-0.00254896	0.000696	-0.00319315	0.000696	0.00163824
0.000698	-0.000294312	0.000698	-0.00254896	0.000698	0.00260452
0.0007	2.78E-05	0.0007	-0.00222687	0.0007	0.00324871
0.000702	-0.000616404	0.000702	-0.00254896	0.000702	0.00228243
0.000704	-0.00254896	0.000704	-0.00287105	0.000704	0.00292662
0.000706	-0.00287105	0.000706	-0.00254896	0.000706	0.00260452
0.000708	0.00196034	0.000708	-0.00319315	0.000708	0.00228243
0.00071	-0.00158268	0.00071	-0.00222687	0.00071	0.00260452
0.000712	-0.00319315	0.000712	-0.00222687	0.000712	0.00260452
0.000714	-0.000938497	0.000714	-0.00222687	0.000714	0.00163824
0.000716	0.000994059	0.000716	-0.00319315	0.000716	0.00228243
0.000718	2.78E-05	0.000718	-0.00222687	0.000718	0.00228243
