TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.00032	-0.0437768	0.00032	0.0418998	0.00032	-0.00158268
0.000322	-0.0437768	0.000322	0.0399673	0.000322	-0.00319315
0.000324	-0.0418443	0.000324	0.0386789	0.000324	-0.00319315
0.000326	-0.0347582	0.000326	0.0364243	0.000326	-0.00480361
0.000328	-0.0289606	0.000328	0.0341696	0.000328	-0.00641407
0.00033	-0.0302489	0.00033	0.0309487	0.00033	-0.00770244
0.000332	-0.0250954	0.000332	0.0283719	0.000332	-0.00673617
0.000334	-0.0183315	0.000334	0.0257952	0.000334	-0.00834663
0.000336	-0.0163989	0.000336	0.0228964	0.000336	-0.00899081
0.000338	-0.0154327	0.000338	0.0196754	0.000338	-0.00899081
0.00034	-0.0106013	0.00034	0.0167766	0.00034	-0.009635
0.000342	-0.00254896	0.000342	0.0138778	0.000342	-0.0102792
0.000344	-0.00480361	0.000344	0.0106568	0.000344	-0.0112455
0.000346	-0.00254896	0.000346	0.00711382	0.000346	-0.00866872
0.000348	0.00485917	0.000348	0.00292662	0.000348	-0.00995709
0.00035	0.00518126	0.00035	0.000349874	0.00035	-0.00866872
0.000352	0.0035708	0.000352	-0.00222687	0.000352	-0.00802454
0.000354	0.0106568	0.000354	-0.0051257	0.000354	-0.00866872
0.000356	0.0183871	0.000356	-0.00673617	0.000356	-0.00770244
0.000358	0.0167766	0.000358	-0.0102792	0.000358	-0.00802454
0.00036	0.0154882	0.00036	-0.0118896	0.00036	-0.00802454
0.000362	0.0209638	0.000362	-0.0141443	0.000362	-0.00705826
0.000364	0.0225743	0.000364	-0.0157548	0.000364	-0.00673617
0.000366	0.0206417	0.000366	-0.0173652	0.000366	-0.00641407
0.000368	0.0203196	0.000368	-0.0186536	0.000368	-0.00480361
0.00037	0.0270836	0.00037	-0.0196199	0.00037	-0.00480361
0.000372	0.0257952	0.000372	-0.0205861	0.000372	-0.00415942
0.000374	0.0238626	0.000374	-0.0215524	0.000374	-0.00319315
0.000376	0.0245068	0.000376	-0.0221966	0.000376	-0.00287105
0.000378	0.0264394	0.000378	-0.0225187	0.000378	-0.00222687
0.00038	0.021608	0.00038	-0.0228408	0.00038	-0.00158268
0.000382	0.0212859	0.000382	-0.0228408	0.000382	0.000349874
0.000384	0.0235405	0.000384	-0.0225187	0.000384	-0.000616404
0.000386	0.0232185	0.000386	-0.0221966	0.000386	0.000994059
0.000388	0.0170987	0.000388	-0.0215524	0.000388	0.000671966
0.00039	0.0170987	0.00039	-0.0215524	0.00039	0.00196034
0.000392	0.0203196	0.000392	-0.0202641	0.000392	0.00228243
0.000394	0.0158103	0.000394	-0.0196199	0.000394	0.00292662
0.000396	0.014844	0.000396	-0.0183315	0.000396	0.00292662
0.000398	0.0125894	0.000398	-0.0180094	0.000398	0.0035708
0.0004	0.0151661	0.0004	-0.016721	0.0004	0.0035708
0.000402	0.00679173	0.000402	-0.0157548	0.000402	0.00389289
0.000404	0.00646963	0.000404	-0.0141443	0.000404	0.00518126
0.000406	0.00711382	0.000406	-0.0128559	0.000406	0.00485917
0.000408	0.00550336	0.000408	-0.0118896	0.000408	0.00453708
0.00041	0.00196034	0.00041	-0.00995709	0.00041	0.00485917
0.000412	-0.000938497	0.000412	-0.00899081	0.000412	0.00453708
0.000414	0.00163824	0.000414	-0.00738035	0.000414	0.00453708
0.000416	-0.000616404	0.000416	-0.00544779	0.000416	0.00485917
0.000418	-0.00448152	0.000418	-0.00415942	0.000418	0.00485917
0.00042	-0.00254896	0.00042	-0.00287105	0.00042	0.00518126
0.000422	-0.00448152	0.000422	-0.00190477	0.000422	0.00421499
0.000424	-0.00705826	0.000424	-0.000616404	0.000424	0.00453708
0.000426	-0.00931291	0.000426	0.000349874	0.000426	0.00485917
0.000428	-0.00770244	0.000428	0.00131615	0.000428	0.0035708
0.00043	-0.0109234	0.00043	0.00196034	0.00043	0.00421499
0.000432	-0.0122117	0.000432	0.00260452	0.000432	0.0035708
0.000434	-0.00995709	0.000434	0.00389289	0.000434	0.00228243
0.000436	-0.00802454	0.000436	0.00453708	0.000436	0.00228243
0.000438	-0.00770244	0.000438	0.00518126	0.000438	0.00228243
0.00044	-0.0141443	0.00044	0.00485917	0.00044	0.00196034
0.000442	-0.00705826	0.000442	0.00614754	0.000442	0.00228243
0.000444	-0.00866872	0.000444	0.00614754	0.000444	0.00163824
0.000446	-0.0112455	0.000446	0.00614754	0.000446	0.00163824
0.000448	-0.0102792	0.000448	0.00646963	0.000448	0.00163824
0.00045	-0.0112455	0.00045	0.00646963	0.00045	0.000671966
0.000452	-0.00770244	0.000452	0.00711382	0.000452	0.000349874
0.000454	-0.0138222	0.000454	0.00614754	0.000454	0.000671966
0.000456	-0.00673617	0.000456	0.00646963	0.000456	0.000349874
0.000458	-0.00673617	0.000458	0.00582545	0.000458	0.000349874
0.00046	-0.00802454	0.00046	0.00582545	0.00046	2.78E-05
0.000462	-0.0109234	0.000462	0.00550336	0.000462	-0.000616404
0.000464	-0.00866872	0.000464	0.00518126	0.000464	-0.00126059
0.000466	-0.00351524	0.000466	0.00518126	0.000466	-0.00126059
0.000468	-0.00866872	0.000468	0.00453708	0.000468	-0.000938497
0.00047	-0.00770244	0.00047	0.0035708	0.00047	-0.00158268
0.000472	-0.00319315	0.000472	0.00389289	0.000472	-0.00158268
0.000474	-0.0051257	0.000474	0.00324871	0.000474	-0.00158268
0.000476	-0.00576989	0.000476	0.00228243	0.000476	-0.00254896
0.000478	-0.00351524	0.000478	0.00196034	0.000478	-0.000938497
0.00048	0.000671966	0.00048	0.000671966	0.00048	-0.00158268
0.000482	-0.00190477	0.000482	0.000994059	0.000482	-0.00158268
0.000484	-0.000616404	0.000484	0.000349874	0.000484	-0.000294312
0.000486	0.00196034	0.000486	-0.000616404	0.000486	-0.000294312
0.000488	0.000349874	0.000488	-0.000616404	0.000488	-0.00126059
0.00049	-0.000294312	0.00049	-0.00126059	0.00049	-0.00126059
0.000492	-0.00158268	0.000492	-0.00158268	0.000492	-0.000616404
0.000494	0.00582545	0.000494	-0.00254896	0.000494	-0.000616404
0.000496	0.00228243	0.000496	-0.00319315	0.000496	-0.000616404
0.000498	-0.000294312	0.000498	-0.00287105	0.000498	-0.000938497
0.0005	0.00421499	0.0005	-0.00448152	0.0005	-0.000616404
0.000502	0.00453708	0.000502	-0.00480361	0.000502	-0.000294312
0.000504	0.000994059	0.000504	-0.00448152	0.000504	2.78E-05
0.000506	0.00131615	0.000506	-0.00480361	0.000506	-0.000294312
0.000508	0.00775801	0.000508	-0.00576989	0.000508	-0.000294312
0.00051	0.00453708	0.00051	-0.00544779	0.00051	0.000349874
0.000512	0.00518126	0.000512	-0.00609198	0.000512	-0.000294312
0.000514	0.00292662	0.000514	-0.00641407	0.000514	2.78E-05
0.000516	0.00389289	0.000516	-0.00609198	0.000516	0.000671966
0.000518	0.00228243	0.000518	-0.00673617	0.000518	0.000349874
0.00052	-0.000294312	0.00052	-0.00544779	0.00052	0.000671966
0.000522	0.00518126	0.000522	-0.00641407	0.000522	-0.000294312
0.000524	0.0035708	0.000524	-0.00609198	0.000524	0.000349874
0.000526	0.00163824	0.000526	-0.00544779	0.000526	0.00131615
0.000528	0.0035708	0.000528	-0.00576989	0.000528	0.00131615
0.00053	0.00550336	0.00053	-0.00576989	0.00053	0.00163824
0.000532	0.000349874	0.000532	-0.00480361	0.000532	0.00196034
0.000534	0.000994059	0.000534	-0.00544779	0.000534	0.00163824
0.000536	0.00260452	0.000536	-0.00576989	0.000536	0.00163824
0.000538	0.00324871	0.000538	-0.0051257	0.000538	0.00131615
0.00054	0.000994059	0.00054	-0.00480361	0.00054	0.00131615
0.000542	2.78E-05	0.000542	-0.00383733	0.000542	0.00163824
0.000544	0.00260452	0.000544	-0.00448152	0.000544	0.00228243
0.000546	0.00163824	0.000546	-0.00415942	0.000546	0.000994059
0.000548	-0.00254896	0.000548	-0.00383733	0.000548	0.00228243
0.00055	-0.000294312	0.00055	-0.00351524	0.00055	0.00131615
0.000552	0.00196034	0.000552	-0.00319315	0.000552	0.00228243
0.000554	2.78E-05	0.000554	-0.00222687	0.000554	0.000349874
0.000556	-0.00319315	0.000556	-0.00222687	0.000556	0.00228243
0.000558	0.00131615	0.000558	-0.00254896	0.000558	0.00196034
0.00056	-0.00222687	0.00056	-0.00254896	0.00056	0.00163824
0.000562	-0.00158268	0.000562	-0.00190477	0.000562	0.000994059
0.000564	-0.00480361	0.000564	-0.00158268	0.000564	0.000994059
0.000566	0.00163824	0.000566	-0.00126059	0.000566	0.00228243
0.000568	-0.000938497	0.000568	-0.000616404	0.000568	0.00131615
0.00057	-0.00319315	0.00057	-0.000616404	0.00057	0.000671966
0.000572	-0.00222687	0.000572	-0.000616404	0.000572	0.000994059
0.000574	0.000994059	0.000574	-0.00158268	0.000574	0.000671966
0.000576	-0.00287105	0.000576	-0.000616404	0.000576	0.00196034
0.000578	-0.00480361	0.000578	-0.000616404	0.000578	0.00196034
0.00058	0.00196034	0.00058	-0.000938497	0.00058	0.000994059
0.000582	-0.00319315	0.000582	-0.000294312	0.000582	0.000994059
0.000584	-0.00383733	0.000584	-0.000294312	0.000584	0.000671966
0.000586	-0.00383733	0.000586	-0.000294312	0.000586	0.000671966
0.000588	-0.00126059	0.000588	-0.000294312	0.000588	0.000349874
0.00059	-0.000616404	0.00059	2.78E-05	0.00059	0.00163824
0.000592	-0.00609198	0.000592	2.78E-05	0.000592	0.00163824
0.000594	-0.00222687	0.000594	-0.000616404	0.000594	0.000349874
0.000596	0.000349874	0.000596	-0.000294312	0.000596	0.000671966
0.000598	-0.00448152	0.000598	-0.000294312	0.000598	0.000994059
0.0006	-0.00383733	0.0006	-0.000616404	0.0006	0.000994059
0.000602	0.000349874	0.000602	-0.000616404	0.000602	-0.000294312
0.000604	0.00196034	0.000604	-0.000938497	0.000604	0.000671966
0.000606	-0.00673617	0.000606	-0.000938497	0.000606	0.00163824
0.000608	-0.000938497	0.000608	-0.000938497	0.000608	0.000349874
0.00061	0.000349874	0.00061	-0.000616404	0.00061	0.000671966
0.000612	-0.00222687	0.000612	-0.00126059	0.000612	0.000349874
0.000614	-0.0051257	0.000614	-0.00158268	0.000614	0.000994059
0.000616	-0.00222687	0.000616	-0.00126059	0.000616	2.78E-05
0.000618	0.00196034	0.000618	-0.00222687	0.000618	0.000994059
0.00062	-0.00448152	0.00062	-0.00190477	0.00062	0.000349874
0.000622	-0.00254896	0.000622	-0.00126059	0.000622	0.000671966
0.000624	0.00292662	0.000624	-0.00190477	0.000624	0.00131615
0.000626	-0.00126059	0.000626	-0.00190477	0.000626	0.000671966
0.000628	-0.00287105	0.000628	-0.00158268	0.000628	-0.000294312
0.00063	-0.00319315	0.00063	-0.00254896	0.00063	0.00131615
0.000632	0.00485917	0.000632	-0.00222687	0.000632	0.000349874
0.000634	-0.000616404	0.000634	-0.00190477	0.000634	0.000671966
0.000636	-0.00126059	0.000636	-0.00190477	0.000636	0.000349874
0.000638	0.00163824	0.000638	-0.00287105	0.000638	0.000349874
0.00064	0.000994059	0.00064	-0.00287105	0.00064	0.000349874
0.000642	-0.00126059	0.000642	-0.00222687	0.000642	0.000349874
0.000644	-0.000616404	0.000644	-0.00222687	0.000644	0.00163824
0.000646	0.00389289	0.000646	-0.00287105	0.000646	0.000349874
0.000648	0.000671966	0.000648	-0.00254896	0.000648	0.000349874
0.00065	-0.00222687	0.00065	-0.00190477	0.00065	0.00131615
0.000652	0.000671966	0.000652	-0.00287105	0.000652	0.00228243
0.000654	0.00196034	0.000654	-0.00287105	0.000654	0.00131615
0.000656	-0.00319315	0.000656	-0.00254896	0.000656	0.000994059
0.000658	-0.00383733	0.000658	-0.00287105	0.000658	0.000349874
0.00066	0.00163824	0.00066	-0.00319315	0.00066	0.000671966
0.000662	0.00196034	0.000662	-0.00287105	0.000662	0.000671966
0.000664	-0.00190477	0.000664	-0.00254896	0.000664	0.000994059
0.000666	-0.00190477	0.000666	-0.00254896	0.000666	0.000671966
0.000668	0.00260452	0.000668	-0.00383733	0.000668	0.00163824
0.00067	0.000671966	0.00067	-0.00319315	0.00067	0.00196034
0.000672	-0.00126059	0.000672	-0.00190477	0.000672	0.000671966
0.000674	-0.000294312	0.000674	-0.00254896	0.000674	0.00131615
0.000676	0.00292662	0.000676	-0.00222687	0.000676	0.00163824
0.000678	-0.00254896	0.000678	-0.00190477	0.000678	0.00131615
0.00068	-0.000938497	0.00068	-0.00222687	0.00068	0.000349874
0.000682	0.00324871	0.000682	-0.00319315	0.000682	0.00131615
0.000684	-0.000938497	0.000684	-0.00190477	0.000684	0.00131615
0.000686	-0.00415942	0.000686	-0.00254896	0.000686	0.00131615
0.000688	-0.00254896	0.000688	-0.00254896	0.000688	0.000349874
0.00069	0.00163824	0.00069	-0.00222687	0.00069	0.000994059
0.000692	-0.00222687	0.000692	-0.00190477	0.000692	0.000994059
0.000694	-0.000616404	0.000694	-0.00158268	0.000694	0.000994059
0.000696	0.00131615	0.000696	-0.00190477	0.000696	0.000994059
0.000698	-0.000616404	0.000698	-0.00190477	0.000698	2.78E-05
0.0007	-0.00287105	0.0007	-0.00222687	0.0007	0.000994059
0.000702	-0.00319315	0.000702	-0.00190477	0.000702	0.00131615
0.000704	0.00163824	0.000704	-0.00222687	0.000704	0.000994059
0.000706	-0.00319315	0.000706	-0.00158268	0.000706	0.00131615
0.000708	-0.0051257	0.000708	-0.00190477	0.000708	0.000994059
0.00071	-0.000616404	0.00071	-0.00158268	0.00071	0.000671966
0.000712	0.00163824	0.000712	-0.00190477	0.000712	0.000671966
0.000714	-0.00126059	0.000714	-0.00158268	0.000714	0.000994059
0.000716	-0.00544779	0.000716	-0.00126059	0.000716	0.00131615
0.000718	0.0035708	0.000718	-0.00222687	0.000718	0.000671966
0.00072	-0.00126059	0.00072	-0.00158268	0.00072	2.78E-05
0.000722	-0.00254896	0.000722	-0.00158268	0.000722	0.000994059
0.000724	-0.00222687	0.000724	-0.00158268	0.000724	0.000349874
0.000726	0.00131615	0.000726	-0.00158268	0.000726	0.00131615
0.000728	0.000349874	0.000728	-0.00158268	0.000728	0.000671966
0.00073	-0.00415942	0.00073	-0.000938497	0.00073	0.000671966
0.000732	0.000671966	0.000732	-0.00190477	0.000732	0.000994059
0.000734	0.000349874	0.000734	-0.000938497	0.000734	0.000994059
0.000736	-0.00351524	0.000736	-0.00190477	0.000736	0.000671966
0.000738	-0.00190477	0.000738	-0.00126059	0.000738	2.78E-05
0.00074	-0.000294312	0.00074	-0.00126059	0.00074	0.000349874
0.000742	0.00196034	0.000742	-0.00222687	0.000742	0.00131615
0.000744	-0.00383733	0.000744	-0.000938497	0.000744	0.000349874
0.000746	0.000349874	0.000746	-0.00158268	0.000746	0.000349874
0.000748	0.00163824	0.000748	-0.00222687	0.000748	0.000994059
0.00075	-0.00126059	0.00075	-0.00190477	0.00075	0.000349874
0.000752	-0.00319315	0.000752	-0.00158268	0.000752	0.000994059
0.000754	-0.000616404	0.000754	-0.00190477	0.000754	0.000994059
0.000756	0.0035708	0.000756	-0.00158268	0.000756	0.000349874
0.000758	-0.00254896	0.000758	-0.00222687	0.000758	0.000994059
0.00076	-0.00222687	0.00076	-0.00158268	0.00076	-0.000294312
0.000762	0.00131615	0.000762	-0.00222687	0.000762	0.00131615
0.000764	-0.000938497	0.000764	-0.00158268	0.000764	0.000671966
0.000766	0.000671966	0.000766	-0.00222687	0.000766	0.00163824
0.000768	0.000671966	0.000768	-0.00190477	0.000768	0.000671966
0.00077	0.00260452	0.00077	-0.00190477	0.00077	0.00131615
0.000772	-0.00126059	0.000772	-0.00126059	0.000772	0.00131615
0.000774	-0.00126059	0.000774	-0.00158268	0.000774	0.000349874
0.000776	0.00324871	0.000776	-0.00254896	0.000776	0.000671966
