TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0.000354	-0.000938497	0.000354	0.0873149	0.000354	0.00228243
0.000356	0.000349874	0.000356	0.0821614	0.000356	-0.000616404
0.000358	0.00131615	0.000358	0.0734649	0.000358	-0.00190477
0.00036	-0.00254896	0.00036	0.06348	0.00036	-0.00383733
0.000362	0.00421499	0.000362	0.0505963	0.000362	-0.00480361
0.000364	0.00292662	0.000364	0.0370684	0.000364	-0.00641407
0.000366	0.00196034	0.000366	0.0212859	0.000366	-0.00770244
0.000368	0.00260452	0.000368	0.00550336	0.000368	-0.00802454
0.00037	0.00324871	0.00037	-0.00899081	0.00037	-0.00770244
0.000372	0.00292662	0.000372	-0.0231629	0.000372	-0.00866872
0.000374	0.00324871	0.000374	-0.0363687	0.000374	-0.00770244
0.000376	0.000349874	0.000376	-0.0469977	0.000376	-0.00770244
0.000378	0.00196034	0.000378	-0.0560163	0.000378	-0.00738035
0.00038	0.000994059	0.00038	-0.0624582	0.00038	-0.00609198
0.000382	-0.00126059	0.000382	-0.065357	0.000382	-0.00448152
0.000384	-0.00287105	0.000384	-0.0666454	0.000384	-0.00415942
0.000386	-0.000938497	0.000386	-0.065357	0.000386	-0.00254896
0.000388	-0.00190477	0.000388	-0.0614919	0.000388	-0.00126059
0.00039	-0.0051257	0.00039	-0.0550501	0.00039	2.78E-05
0.000392	-0.00319315	0.000392	-0.0476419	0.000392	0.00131615
0.000394	-0.00480361	0.000394	-0.0383012	0.000394	0.00292662
0.000396	-0.00480361	0.000396	-0.0283164	0.000396	0.00324871
0.000398	-0.00287105	0.000398	-0.0170431	0.000398	0.00389289
0.0004	-0.00319315	0.0004	-0.00641407	0.0004	0.00421499
0.000402	-0.00351524	0.000402	0.00421499	0.000402	0.00421499
0.000404	-0.00576989	0.000404	0.014844	0.000404	0.00421499
0.000406	-0.00641407	0.000406	0.0238626	0.000406	0.00421499
0.000408	-0.00480361	0.000408	0.0312708	0.000408	0.00324871
0.00041	-0.00254896	0.00041	0.0364243	0.00041	0.00292662
0.000412	-0.00576989	0.000412	0.0409336	0.000412	0.00228243
0.000414	-0.00254896	0.000414	0.0435103	0.000414	0.00163824
0.000416	-0.00319315	0.000416	0.0435103	0.000416	0.000671966
0.000418	-0.00158268	0.000418	0.0422219	0.000418	-0.000616404
0.00042	-0.000938497	0.00042	0.0393231	0.00042	-0.00126059
0.000422	0.000349874	0.000422	0.0344917	0.000422	-0.00254896
0.000424	0.00131615	0.000424	0.0280498	0.000424	-0.00254896
0.000426	-0.000294312	0.000426	0.0212859	0.000426	-0.00351524
0.000428	-0.000938497	0.000428	0.0138778	0.000428	-0.00415942
0.00043	2.78E-05	0.00043	0.00614754	0.00043	-0.00448152
0.000432	0.000671966	0.000432	-0.00287105	0.000432	-0.00415942
0.000434	-0.00158268	0.000434	-0.00899081	0.000434	-0.00448152
0.000436	-0.00126059	0.000436	-0.0160769	0.000436	-0.00448152
0.000438	-0.000938497	0.000438	-0.0225187	0.000438	-0.00383733
0.00044	-0.000616404	0.00044	-0.0276722	0.00044	-0.00448152
0.000442	-0.000294312	0.000442	-0.0308931	0.000442	-0.00319315
0.000444	2.78E-05	0.000444	-0.0337919	0.000444	-0.00287105
0.000446	-0.000294312	0.000446	-0.0357245	0.000446	-0.00254896
0.000448	-0.00158268	0.000448	-0.0354024	0.000448	-0.00190477
0.00045	-0.0051257	0.00045	-0.0337919	0.00045	-0.00158268
0.000452	-0.00222687	0.000452	-0.0315373	0.000452	-0.000294312
0.000454	-0.00222687	0.000454	-0.0276722	0.000454	-0.000294312
0.000456	-0.00544779	0.000456	-0.0231629	0.000456	0.000671966
0.000458	-0.00383733	0.000458	-0.0183315	0.000458	0.000994059
0.00046	-0.00254896	0.00046	-0.0122117	0.00046	0.000994059
0.000462	-0.00351524	0.000462	-0.00673617	0.000462	0.00228243
0.000464	-0.00158268	0.000464	-0.000938497	0.000464	0.00196034
0.000466	-0.00190477	0.000466	0.00389289	0.000466	0.00131615
0.000468	-0.00319315	0.000468	0.00904638	0.000468	0.00163824
0.00047	-0.0051257	0.00047	0.0135557	0.00047	0.00131615
0.000472	-0.00415942	0.000472	0.0170987	0.000472	0.00131615
0.000474	0.000671966	0.000474	0.0193533	0.000474	0.000671966
0.000476	-0.000616404	0.000476	0.0212859	0.000476	2.78E-05
0.000478	-0.00190477	0.000478	0.0219301	0.000478	2.78E-05
0.00048	-0.00254896	0.00048	0.0212859	0.00048	-0.000938497
0.000482	-0.00222687	0.000482	0.0203196	0.000482	-0.00126059
0.000484	-0.00287105	0.000484	0.0174208	0.000484	-0.00190477
0.000486	2.78E-05	0.000486	0.0154882	0.000486	-0.00222687
0.000488	-0.000938497	0.000488	0.0116231	0.000488	-0.00254896
0.00049	-0.00126059	0.00049	0.0080801	0.00049	-0.00254896
0.000492	-0.000294312	0.000492	0.00389289	0.000492	-0.00254896
