Time - V_S	Amplitude - V_S	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0.000456	0.0274057	0.000456	-0.0260617	0.000456	0.00324871
0.000458	0.014844	0.000458	-0.0163989	0.000458	0.00389289
0.00046	0.00260452	0.00046	-0.00673617	0.00046	0.00453708
0.000462	-0.00866872	0.000462	0.00421499	0.000462	0.00389289
0.000464	-0.0173652	0.000464	0.0135557	0.000464	0.00421499
0.000466	-0.0276722	0.000466	0.0219301	0.000466	0.00421499
0.000468	-0.0363687	0.000468	0.0293382	0.000468	0.0035708
0.00047	-0.040878	0.00047	0.0351359	0.00047	0.00389289
0.000472	-0.0453873	0.000472	0.0393231	0.000472	0.00260452
0.000474	-0.0492524	0.000474	0.0415777	0.000474	0.00196034
0.000476	-0.0502187	0.000476	0.042544	0.000476	0.00131615
0.000478	-0.0453873	0.000478	0.0415777	0.000478	0.000349874
0.00048	-0.0428105	0.00048	0.0386789	0.00048	-0.000616404
0.000482	-0.0392675	0.000482	0.0344917	0.000482	-0.00158268
0.000484	-0.0321815	0.000484	0.028694	0.000484	-0.00222687
0.000486	-0.0238071	0.000486	0.0222522	0.000486	-0.00383733
0.000488	-0.0163989	0.000488	0.014844	0.000488	-0.00383733
0.00049	-0.00866872	0.00049	0.0080801	0.00049	-0.0051257
0.000492	0.00163824	0.000492	-0.000294312	0.000492	-0.00383733
0.000494	0.0100127	0.000494	-0.00770244	0.000494	-0.00415942
0.000496	0.0158103	0.000496	-0.0151106	0.000496	-0.00480361
0.000498	0.0235405	0.000498	-0.0212303	0.000498	-0.00480361
0.0005	0.0303045	0.0005	-0.0260617	0.0005	-0.00448152
0.000502	0.0341696	0.000502	-0.030571	0.000502	-0.00383733
0.000504	0.0348138	0.000504	-0.0328257	0.000504	-0.00319315
0.000506	0.0373905	0.000506	-0.0344361	0.000506	-0.00287105
0.000508	0.0377126	0.000508	-0.0350803	0.000508	-0.00222687
0.00051	0.0348138	0.00051	-0.0331478	0.00051	-0.00126059
0.000512	0.0312708	0.000512	-0.030571	0.000512	-0.000616404
0.000514	0.0290161	0.000514	-0.0263838	0.000514	0.000349874
0.000516	0.0238626	0.000516	-0.0225187	0.000516	0.000349874
0.000518	0.0151661	0.000518	-0.0176873	0.000518	0.00196034
0.00052	0.0106568	0.00052	-0.0115676	0.00052	0.00196034
0.000522	0.00453708	0.000522	-0.00544779	0.000522	0.00260452
0.000524	-0.00287105	0.000524	0.000994059	0.000524	0.00163824
0.000526	-0.00995709	0.000526	0.00582545	0.000526	0.00163824
0.000528	-0.0144664	0.000528	0.011301	0.000528	0.00228243
0.00053	-0.0180094	0.00053	0.0164545	0.00053	0.00196034
0.000532	-0.0247734	0.000532	0.0193533	0.000532	0.000994059
0.000534	-0.0267059	0.000534	0.021608	0.000534	0.000994059
0.000536	-0.0267059	0.000536	0.0238626	0.000536	0.000671966
0.000538	-0.0279943	0.000538	0.0241847	0.000538	0.000349874
0.00054	-0.0286385	0.00054	0.0235405	0.00054	-0.000294312
0.000542	-0.0260617	0.000542	0.0225743	0.000542	-0.000938497
0.000544	-0.0215524	0.000544	0.0209638	0.000544	-0.00126059
0.000546	-0.0196199	0.000546	0.0170987	0.000546	-0.00190477
0.000548	-0.016721	0.000548	0.0132336	0.000548	-0.00254896
0.00055	-0.00931291	0.00055	0.00936847	0.00055	-0.00254896
0.000552	-0.0051257	0.000552	0.00453708	0.000552	-0.00319315
0.000554	-0.00158268	0.000554	0.000994059	0.000554	-0.00383733
0.000556	0.00324871	0.000556	-0.00383733	0.000556	-0.00254896
0.000558	0.0106568	0.000558	-0.00834663	0.000558	-0.00287105
0.00056	0.0132336	0.00056	-0.0128559	0.00056	-0.00287105
0.000562	0.0151661	0.000562	-0.0154327	0.000562	-0.00287105
0.000564	0.0199975	0.000564	-0.0176873	0.000564	-0.00254896
0.000566	0.0219301	0.000566	-0.0192978	0.000566	-0.00190477
0.000568	0.0212859	0.000568	-0.0205861	0.000568	-0.00126059
0.00057	0.0209638	0.00057	-0.0205861	0.00057	-0.000938497
0.000572	0.0212859	0.000572	-0.019942	0.000572	-0.00126059
0.000574	0.0199975	0.000574	-0.0189757	0.000574	-0.000616404
0.000576	0.014844	0.000576	-0.016721	0.000576	2.78E-05
0.000578	0.0138778	0.000578	-0.0144664	0.000578	0.000349874
0.00058	0.0116231	0.00058	-0.0112455	0.00058	0.000671966
0.000582	0.00614754	0.000582	-0.00770244	0.000582	0.00131615
0.000584	0.00196034	0.000584	-0.00448152	0.000584	0.00131615
0.000586	-0.000616404	0.000586	-0.000294312	0.000586	0.000994059
0.000588	-0.00287105	0.000588	0.00260452	0.000588	0.000349874
0.00059	-0.00802454	0.00059	0.00550336	0.00059	0.000349874
0.000592	-0.0115676	0.000592	0.00840219	0.000592	0.000671966
0.000594	-0.0118896	0.000594	0.0106568	0.000594	2.78E-05
0.000596	-0.0154327	0.000596	0.0122673	0.000596	2.78E-05
0.000598	-0.016721	0.000598	0.0132336	0.000598	0.000349874
0.0006	-0.016721	0.0006	0.0135557	0.0006	2.78E-05
0.000602	-0.0141443	0.000602	0.0138778	0.000602	-0.000294312
0.000604	-0.0160769	0.000604	0.0129115	0.000604	-0.000938497
0.000606	-0.0147885	0.000606	0.011301	0.000606	-0.00190477
0.000608	-0.0106013	0.000608	0.0100127	0.000608	-0.00126059
0.00061	-0.00802454	0.00061	0.00775801	0.00061	-0.00222687
0.000612	-0.00738035	0.000612	0.00550336	0.000612	-0.00254896
0.000614	-0.00448152	0.000614	0.0035708	0.000614	-0.00254896
0.000616	0.000671966	0.000616	0.000349874	0.000616	-0.00126059
0.000618	0.00196034	0.000618	-0.00287105	0.000618	-0.00158268
0.00062	0.00421499	0.00062	-0.00576989	0.00062	-0.00126059
0.000622	0.00775801	0.000622	-0.00738035	0.000622	-0.00190477
0.000624	0.0100127	0.000624	-0.00931291	0.000624	-0.00158268
0.000626	0.0100127	0.000626	-0.0106013	0.000626	-0.00126059
0.000628	0.0103347	0.000628	-0.0115676	0.000628	-0.00190477
0.00063	0.0135557	0.00063	-0.0128559	0.00063	-0.00126059
0.000632	0.0129115	0.000632	-0.0128559	0.000632	-0.000938497
0.000634	0.0109789	0.000634	-0.0122117	0.000634	-0.000294312
0.000636	0.011301	0.000636	-0.0115676	0.000636	-0.000938497
0.000638	0.011301	0.000638	-0.0106013	0.000638	-0.000294312
0.00064	0.00872428	0.00064	-0.00899081	0.00064	2.78E-05
0.000642	0.00485917	0.000642	-0.00738035	0.000642	2.78E-05
0.000644	0.00485917	0.000644	-0.0051257	0.000644	0.000671966
0.000646	0.00292662	0.000646	-0.00319315	0.000646	0.000349874
0.000648	-0.000938497	0.000648	-0.000938497	0.000648	0.000994059
0.00065	-0.00190477	0.00065	0.000994059	0.00065	2.78E-05
0.000652	-0.00351524	0.000652	0.00260452	0.000652	2.78E-05
0.000654	-0.0051257	0.000654	0.00421499	0.000654	-0.000294312
0.000656	-0.00866872	0.000656	0.00614754	0.000656	-0.000294312
0.000658	-0.00866872	0.000658	0.00646963	0.000658	-0.000616404
0.00066	-0.00770244	0.00066	0.00679173	0.00066	-0.000616404
0.000662	-0.00995709	0.000662	0.00743591	0.000662	-0.000616404
0.000664	-0.0102792	0.000664	0.00711382	0.000664	-0.000616404
0.000666	-0.00931291	0.000666	0.00743591	0.000666	-0.000938497
0.000668	-0.00673617	0.000668	0.00614754	0.000668	-0.000938497
0.00067	-0.00770244	0.00067	0.00550336	0.00067	-0.00158268
0.000672	-0.00705826	0.000672	0.00421499	0.000672	-0.00158268
0.000674	-0.00287105	0.000674	0.0035708	0.000674	-0.00222687
0.000676	-0.00254896	0.000676	0.00131615	0.000676	-0.00222687
0.000678	-0.00126059	0.000678	2.78E-05	0.000678	-0.000938497
0.00068	0.00131615	0.00068	-0.00158268	0.00068	-0.000938497
0.000682	0.00389289	0.000682	-0.00319315	0.000682	-0.00126059
0.000684	0.00292662	0.000684	-0.00480361	0.000684	-0.000938497
0.000686	0.00421499	0.000686	-0.00576989	0.000686	-0.00158268
0.000688	0.00711382	0.000688	-0.00673617	0.000688	-0.000294312
0.00069	0.00743591	0.00069	-0.00770244	0.00069	-0.000938497
0.000692	0.00582545	0.000692	-0.00738035	0.000692	-0.000938497
0.000694	0.00711382	0.000694	-0.00866872	0.000694	-0.000616404
0.000696	0.00775801	0.000696	-0.00770244	0.000696	-0.000938497
0.000698	0.00614754	0.000698	-0.00770244	0.000698	2.78E-05
0.0007	0.00453708	0.0007	-0.00705826	0.0007	-0.000294312
0.000702	0.00582545	0.000702	-0.00673617	0.000702	2.78E-05
0.000704	0.00453708	0.000704	-0.0051257	0.000704	0.000349874
0.000706	0.00196034	0.000706	-0.00480361	0.000706	-0.000294312
0.000708	0.000671966	0.000708	-0.00319315	0.000708	2.78E-05
0.00071	0.00228243	0.00071	-0.00190477	0.00071	2.78E-05
0.000712	-0.000294312	0.000712	-0.000294312	0.000712	0.000349874
0.000714	-0.00383733	0.000714	0.000671966	0.000714	-0.000294312
0.000716	-0.00287105	0.000716	0.00196034	0.000716	2.78E-05
0.000718	-0.00319315	0.000718	0.00260452	0.000718	-0.000294312
0.00072	-0.00544779	0.00072	0.00324871	0.00072	-0.000616404
0.000722	-0.00641407	0.000722	0.00389289	0.000722	-0.00126059
0.000724	-0.00480361	0.000724	0.00421499	0.000724	-0.000938497
0.000726	-0.00383733	0.000726	0.00421499	0.000726	-0.000938497
0.000728	-0.00576989	0.000728	0.00421499	0.000728	-0.000938497
0.00073	-0.0051257	0.00073	0.0035708	0.00073	-0.00158268
0.000732	-0.00383733	0.000732	0.00292662	0.000732	-0.000938497
0.000734	-0.00319315	0.000734	0.00228243	0.000734	-0.00126059
0.000736	-0.00351524	0.000736	0.00163824	0.000736	-0.000938497
0.000738	-0.00126059	0.000738	0.000671966	0.000738	-0.00190477
0.00074	0.000994059	0.00074	-0.000616404	0.00074	-0.000616404
0.000742	-0.000616404	0.000742	-0.000616404	0.000742	-0.000616404
0.000744	0.000349874	0.000744	-0.00190477	0.000744	-0.000938497
0.000746	0.00324871	0.000746	-0.00351524	0.000746	-0.000616404
0.000748	0.00292662	0.000748	-0.00415942	0.000748	-0.000938497
0.00075	0.00292662	0.00075	-0.00480361	0.00075	-0.000616404
0.000752	0.00324871	0.000752	-0.0051257	0.000752	-0.000294312
0.000754	0.00582545	0.000754	-0.0051257	0.000754	-0.000294312
0.000756	0.00421499	0.000756	-0.00544779	0.000756	-0.000616404
0.000758	0.0035708	0.000758	-0.0051257	0.000758	-0.000616404
0.00076	0.00485917	0.00076	-0.0051257	0.00076	-0.000616404
0.000762	0.00453708	0.000762	-0.00480361	0.000762	-0.000938497
0.000764	0.00228243	0.000764	-0.00480361	0.000764	-0.000616404
0.000766	0.00131615	0.000766	-0.00319315	0.000766	2.78E-05
0.000768	0.00292662	0.000768	-0.00319315	0.000768	2.78E-05
0.00077	0.00163824	0.00077	-0.00222687	0.00077	0.000349874
0.000772	-0.000616404	0.000772	-0.00158268	0.000772	0.000671966
0.000774	-0.000294312	0.000774	2.78E-05	0.000774	-0.000294312
0.000776	2.78E-05	0.000776	2.78E-05	0.000776	-0.000294312
0.000778	-0.00190477	0.000778	0.000349874	0.000778	-0.000616404
0.00078	-0.00383733	0.00078	0.000671966	0.00078	2.78E-05
0.000782	-0.00222687	0.000782	0.00163824	0.000782	-0.000294312
0.000784	-0.00222687	0.000784	0.00196034	0.000784	-0.00158268
0.000786	-0.00383733	0.000786	0.00196034	0.000786	-0.000938497
0.000788	-0.00351524	0.000788	0.00196034	0.000788	-0.000616404
0.00079	-0.00126059	0.00079	0.00196034	0.00079	-0.00126059
0.000792	-0.00222687	0.000792	0.00196034	0.000792	-0.000938497
0.000794	-0.00383733	0.000794	0.00131615	0.000794	-0.00126059
0.000796	-0.00190477	0.000796	0.000671966	0.000796	-0.000938497
0.000798	-0.000294312	0.000798	0.000671966	0.000798	-0.00158268
0.0008	-0.000938497	0.0008	-0.000294312	0.0008	-0.000616404
